fips_st_cnty,secndry_entity_file,st_name,st_name_abbrev,cnty_name,fips_st,fips_cnty,dent_npi_21,popn_21,popn_densty_per_squr_mi_20,popn_densty_per_squr_mi_10
1001,1001,Alabama,AL,Autauga,1,1,19,59095,98.9,91.8
1003,1003,Alabama,AL,Baldwin,1,3,114,239294,145.8,114.7
1005,1005,Alabama,AL,Barbour,1,5,8,24964,28.5,31
1007,1007,Alabama,AL,Bibb,1,7,6,22477,35.8,36.8
1009,1009,Alabama,AL,Blount,1,9,10,59041,91.7,88.9
1011,1011,Alabama,AL,Bullock,1,11,2,10320,16.6,17.5
1013,1013,Alabama,AL,Butler,1,13,7,18884,24.5,27
1015,1015,Alabama,AL,Calhoun,1,15,76,115972,192.2,195.7
1017,1017,Alabama,AL,Chambers,1,17,7,34541,58.3,57.4
1019,1019,Alabama,AL,Cherokee,1,19,4,24996,45.1,46.9
1021,1021,Alabama,AL,Chilton,1,21,13,45274,65,63
1023,1023,Alabama,AL,Choctaw,1,23,6,12533,13.9,15.2
1025,1025,Alabama,AL,Clarke,1,25,8,22760,18.6,20.9
1027,1027,Alabama,AL,Clay,1,27,2,14190,23.6,23.1
1029,1029,Alabama,AL,Cleburne,1,29,0,15103,26.9,26.7
1031,1031,Alabama,AL,Coffee,1,31,19,54174,78.7,73.6
1033,1033,Alabama,AL,Colbert,1,33,28,57474,96.5,91.8
1035,1035,Alabama,AL,Conecuh,1,35,2,11328,13.6,15.6
1037,1037,Alabama,AL,Coosa,1,37,0,10450,16,17.7
1039,1039,Alabama,AL,Covington,1,39,14,37524,36.5,36.7
1041,1041,Alabama,AL,Crenshaw,1,41,3,13083,21.7,22.8
1043,1043,Alabama,AL,Cullman,1,43,43,89496,119.6,109.4
1045,1045,Alabama,AL,Dale,1,45,16,49342,87.9,89.6
1047,1047,Alabama,AL,Dallas,1,47,12,37619,39.3,44.8
1049,1049,Alabama,AL,DeKalb,1,49,21,71813,92.2,91.5
1051,1051,Alabama,AL,Elmore,1,51,12,89304,142.2,128.2
1053,1053,Alabama,AL,Escambia,1,53,15,36699,38.9,40.6
1055,1055,Alabama,AL,Etowah,1,55,52,103162,193.3,195.2
1057,1057,Alabama,AL,Fayette,1,57,5,16148,26,27.5
1059,1059,Alabama,AL,Franklin,1,59,9,32013,50.7,50
1061,1061,Alabama,AL,Geneva,1,61,2,26701,46.4,46.6
1063,1063,Alabama,AL,Greene,1,63,0,7629,12,14
1065,1065,Alabama,AL,Hale,1,65,2,14754,23,24.5
1067,1067,Alabama,AL,Henry,1,67,5,17459,30.5,30.8
1069,1069,Alabama,AL,Houston,1,69,70,107458,184.9,175.1
1071,1071,Alabama,AL,Jackson,1,71,16,52773,48.8,49.4
1073,1073,Alabama,AL,Jefferson,1,73,603,667820,607,592.5
1075,1075,Alabama,AL,Lamar,1,75,3,13689,23.1,24.1
1077,1077,Alabama,AL,Lauderdale,1,77,54,94043,140.1,138.9
1079,1079,Alabama,AL,Lawrence,1,79,3,33090,47.9,49.7
1081,1081,Alabama,AL,Lee,1,81,58,177218,286.8,230.9
1083,1083,Alabama,AL,Limestone,1,83,32,107517,185,147.8
1085,1085,Alabama,AL,Lowndes,1,85,0,9965,14.4,15.8
1087,1087,Alabama,AL,Macon,1,87,5,18895,32.1,35.2
1089,1089,Alabama,AL,Madison,1,89,204,395211,484.2,417.7
1091,1091,Alabama,AL,Marengo,1,91,5,18996,19.8,21.5
1093,1093,Alabama,AL,Marion,1,93,5,29246,39.5,41.5
1095,1095,Alabama,AL,Marshall,1,95,35,98228,172.5,164.4
